Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0201_0603Metric",198.450000,-113.630000,-90.000000,bottom
"C2","100nF","C_0201_0603Metric",200.090000,-113.630000,-90.000000,bottom
"C3","100nF","C_0201_0603Metric",207.755000,-117.570800,90.000000,bottom
"C4","22uF","C_0603_1608Metric",192.600000,-117.000000,-90.000000,bottom
"C5","22uF","C_0603_1608Metric",194.150000,-117.000000,-90.000000,bottom
"C6","100nF","C_0201_0603Metric",203.870000,-114.610000,180.000000,bottom
"C7","100nF","C_0201_0603Metric",201.617500,-113.570000,-90.000000,bottom
"C8","100nF","C_0201_0603Metric",192.214200,-114.570300,-90.000000,bottom
"C9","22uF","C_0402_1005Metric",193.124200,-114.600000,-90.000000,bottom
"C10","22uF","C_0402_1005Metric",194.120000,-114.600000,-90.000000,bottom
"C11","100nF","C_0201_0603Metric",196.930000,-94.920000,0.000000,bottom
"C12","100nF","C_0201_0603Metric",197.045000,-106.960000,0.000000,bottom
"C13","100nF","C_0201_0603Metric",202.440000,-97.520000,180.000000,bottom
"C14","100nF","C_0201_0603Metric",202.195000,-108.890000,180.000000,bottom
"C15","100nF","C_0201_0603Metric",196.910000,-97.280000,0.000000,bottom
"C16","100nF","C_0201_0603Metric",197.055000,-109.280000,0.000000,bottom
"C17","100nF","C_0201_0603Metric",202.435000,-95.230000,180.000000,bottom
"C18","100nF","C_0201_0603Metric",202.205000,-106.570000,180.000000,bottom
"C19","100nF","C_0201_0603Metric",189.850000,-96.500000,-90.000000,bottom
"C20","100nF","C_0201_0603Metric",190.050000,-109.025000,-90.000000,bottom
"C21","100nF","C_0201_0603Metric",209.430000,-94.870000,90.000000,bottom
"C22","100nF","C_0201_0603Metric",209.160000,-106.450000,90.000000,bottom
"C23","100nF","C_0402_1005Metric",189.340000,-90.950000,0.000000,bottom
"C24","100nF","C_0402_1005Metric",189.970000,-103.020000,0.000000,bottom
"C25","100nF","C_0402_1005Metric",209.900000,-100.750000,180.000000,bottom
"C26","100nF","C_0402_1005Metric",210.574330,-111.910000,180.000000,bottom
"C59","100nF","C_0402_1005Metric",187.460000,-90.950000,0.000000,bottom
"C60","100nF","C_0402_1005Metric",188.090000,-103.020000,0.000000,bottom
"C61","100nF","C_0402_1005Metric",211.790000,-100.730000,180.000000,bottom
"C62","100nF","C_0402_1005Metric",212.454330,-111.910000,180.000000,bottom
"C63","100nF","C_0402_1005Metric",185.600000,-90.950000,0.000000,bottom
"C64","100nF","C_0402_1005Metric",186.210000,-103.020000,0.000000,bottom
"C65","100nF","C_0402_1005Metric",213.660000,-100.730000,180.000000,bottom
"C66","100nF","C_0402_1005Metric",214.334330,-111.910000,180.000000,bottom
"C67","470uF","C_0201_0603Metric",186.430000,-97.340000,180.000000,bottom
