"Value","Description","Reference","Footprint","Qty","MANUFACTURER","Manufacturer Part Number","LCSC","Distributor Link","Datasheet"
"220pF","Unpolarized capacitor SMD 0402","C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98","Capacitor_SMD:C_0402_1005Metric","12","YAGEO","AC0402KRX7R0BB221","C7209937","https://www.lcsc.com/product-detail/C7209937.html?spm=wm.fly.bg.2.xh___wm.fly.tp.3.ml&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C7209937.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.2.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"100nF","Unpolarized capacitor SMD 0402","C1,C2,C3,C6,C7,C8,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C59,C60,C61,C62,C63,C64,C65,C66,C75,C76,C77,C78","Capacitor_SMD:C_0402_1005Metric","34","muRata","GRM155R71H104KE14D","C77020","https://www.lcsc.com/product-detail/C77020.html?spm=wm.fly.bg.0.stp___wm.fly.tp.3.ml&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C77020.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.stp&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"1uF","Unpolarized capacitor SMD 0402","C71,C72,C73,C74","Capacitor_SMD:C_0402_1005Metric","4","Samsung Electro-Mechanics","CL05A105KO5NNNC","C29266","https://www.lcsc.com/product-detail/C29266.html?spm=wm.fly.bg.0.xh___wm.fly.tp.3.ml&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C29266.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"4.7uF","Unpolarized capacitor SMD 0603","C9,C67,C68,C69,C70","Capacitor_SMD:C_0603_1608Metric","5","Samsung Electro-Mechanics","CL10A475KO8NNNC","C19666","https://www.lcsc.com/product-detail/C19666.html?spm=wm.fly.bg.0.xh___wm.fly.tp.3.ml&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C19666.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"10uF","Unpolarized capacitor SMD 0805","C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58","Capacitor_SMD:C_0805_2012Metric","32","Samsung Electro-Mechanics","CL21A106KBYQNNE","C2932476","https://www.lcsc.com/product-detail/C2932476.html?s_z=n_q_C2932476&globalKeyword=C2932476","https://www.lcsc.com/datasheet/C2932476.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.stp&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"10uH","Molded power inductor SMD","L1","Inductor_SMD:L_Changjiang_FTC404020S","1","FAUKU","GXTC0420-100-MT","C53198553","https://www.lcsc.com/product-detail/C53198553.html?s_z=s_p_GXTC0420-100-MT&spm=wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C53198553.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"22uF","Unpolarized capacitor SMD 0805","C4,C5,C10","Capacitor_SMD:C_0805_2012Metric","3","Samsung Electro-Mechanics","CL21A226MAYNNNE","C602037","https://www.lcsc.com/product-detail/C602037.html?spm=wm.fly.bg.0.xh___wm.fly.tp.3.ml&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C602037.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"0.5mR","Resistor shunt 0.5mΩ ±5% 6W 2512","R1","Resistor_SMD:R_2512_6332Metric","1","RESI","EBWM2512JL500S9","C19679480","https://www.lcsc.com/product-detail/C19679480.html?spm=wm.fly.bg.4.stp___wm.fly.tp.1.ml&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C19679480.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.4.stp&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"4.7","Resistor SMD 0402","R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100,R101","Resistor_SMD:R_0402_1005Metric","12","UNI-ROYAL","0402WGJ047JTCE","C25169","https://www.lcsc.com/product-detail/C25169.html?spm=wm.fly.bg.1.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C25169.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.1.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"15R","Resistor SMD 0402","R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76","Resistor_SMD:R_0402_1005Metric","24","UNI-ROYAL","0402WGF150JTCE","C25083","https://www.lcsc.com/product-detail/C25083.html?spm=wm.fly.bg.1.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C25083.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.1.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"220","Resistor SMD 0402","R13,R14,R15,R16","Resistor_SMD:R_0402_1005Metric","4","UNI-ROYAL","0402WGJ0220TCE","C25152","https://www.lcsc.com/product-detail/C25152.html?spm=wm.fly.bg.6.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C25152.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.6.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"1K","Resistor SMD 0402","R2,R5,R6,R7,R8,R21,R22,R23,R24,R30,R33,R36,R39,R42,R45,R48,R51","Resistor_SMD:R_0402_1005Metric","17","YAGEO","RC0402FR-071KL","C106235","https://www.lcsc.com/product-detail/C106235.html?spm=wm.fly.bg.0.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C106235.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"10K","Resistor SMD 0402","R4,R9,R10,R11,R12,R17,R18,R19,R20,R25,R26,R27,R28,R29,R31,R32,R34,R35,R37,R38,R40,R41,R43,R44,R46,R47,R49,R50,R52,R77","Resistor_SMD:R_0402_1005Metric","30","YAGEO","RC0402JR-0710KL","C60489","https://www.lcsc.com/product-detail/C60489.html?spm=wm.fly.bg.4.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C60489.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.4.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"124K","Resistor SMD 0402","R3","Resistor_SMD:R_0402_1005Metric","1","UNI-ROYAL","0402WGF1243TCE","C36777","https://www.lcsc.com/product-detail/C36777.html?spm=wm.fly.bg.0.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C36777.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"AT32F421G8U7","ARM 32-bit Cortex-M4 microcontroller","U4,U5,U6,U7","AT32F421G8U7:QFN28_4x4_ART","4","ARTERY","AT32F421G8U7","C2765098","https://www.lcsc.com/product-detail/C2765098.html?s_z=s_p_AT32F421G8U7&spm=wm.fly.bg.0.xh&lcsc_vid=R1lcUVNTTlAMX1ZfQlFdVFNSFlhYVwBUQlAMUFRfRAMxVlNeR1NdUlxUQVNcVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C2765098.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=R1lcUVNTTlAMX1ZfQlFdVFNSFlhYVwBUQlAMUFRfRAMxVlNeR1NdUlxUQVNcVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"FerriteBead","Ferrite bead","FB1,FB2,FB3,FB4","Inductor_SMD:L_0402_1005Metric","4","FH","CBW100505U101T","C124089","https://www.lcsc.com/product-detail/C124089.html?s_z=n_q_t_ferrite%2520bead&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=R1lcUVNTTlAMX1ZfQlFdVFNSFlhYVwBUQlAMUFRfRAMxVlNeR1NdUVRUQVZcVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktVR08GEwkK","https://www.lcsc.com/datasheet/C124089.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=R1lcUVNTTlAMX1ZfQlFdVFNSFlhYVwBUQlAMUFRfRAMxVlNeR1NdUVRUQVZcVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktVR08GEwkK"
"INA185A2","1 5uV -200mV~26V 2V/us 210kHz 100dB 75uA 200uA 50V/V SOT-563 Instrumentation, Op Amps, Buffer Amps RoHS","U1","Package_TO_SOT_SMD:SOT-563","1","Texas Instruments","INA185A2IDRLR","C2059320","https://www.lcsc.com/product-detail/C2059320.html?s_z=s_p_INA185A2IDRLR&spm=wm.fly.bg.0.xh&lcsc_vid=R1lcUVNTTlAMX1ZfQlFdVFNSFlhYVwBUQlAMUFRfRAMxVlNeR1NaUldfR1NcUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C2059320.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=R1lcUVNTTlAMX1ZfQlFdVFNSFlhYVwBUQlAMUFRfRAMxVlNeR1NaUldfR1NcUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"LMR51420YFDDCR","SIMPLE SWITCHER® power converter 4.5-V to 36-V, 2-A, synchronous buck with 40-µA IQ","U2","LMR51420YDDCR:SOT95P280X110-6N","1","Texas Instruments","LMR51420YFDDCR","C7296200","https://www.lcsc.com/product-detail/C7296200.html?s_z=n_q_C7296200&globalKeyword=C7296200","https://www.lcsc.com/datasheet/C7296200.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=R1lcUVNTTlAMX1ZfQlFdVFNSFlhYVwBUQlAMUFRfRAMxVlNeR1NdUFNUQFVaVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXQ1VfSQwSGg0%3D"
"NSG2065Q","Integrated BSD Three-Phase Half Bridge MOSFET/IGBT Gate Driver","U8,U9,U10,U11","NSG2065Q:QFN-24_L4.0-W4.0-P0.50-TL-EP2.8","4","WXNSIC","NSG2065Q","C41414478","https://www.lcsc.com/product-detail/C41414478.html?s_z=n_q_C41414478&globalKeyword=C41414478","https://www.lcsc.com/datasheet/C41414478.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=R1lcUVNTTlAMX1ZfQlFdVFNSFlhYVwBUQlAMUFRfRAMxVlNeR1NdUFNfQVNcVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQFNXUVZWR08GEwkK"
"SM08B-SRSS-TB","Connector Header Surface Mount, Right Angle 8 position 0.039 (1.00mm)","J6","Connector_JST:JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal","1","JST","SM08B-SRSS-TB(LF)(SN)","C160407","https://www.lcsc.com/product-detail/C160407.html?s_z=n_q_C160407&globalKeyword=C160407","https://www.lcsc.com/datasheet/C160407.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=R1lcUVNTTlAMX1ZfQlFdVFNSFlhYVwBUQlAMUFRfRAMxVlNeR1NdX1ZVQlZaUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktRTlNADxALGw%3D%3D"
"SMBJ30A","600W, 30V, Unidirectional, TVS","D1","SMBJ30A:DIOM4336X265N","1","DIODES","SMBJ30A-13-F","C135065","https://www.lcsc.com/product-detail/C135065.html?s_z=s_p_SMBJ30A&spm=wm.fly.bg.5.xh&lcsc_vid=R1lcUVNTTlAMX1ZfQlFdVFNSFlhYVwBUQlAMUFRfRAMxVlNeR1NdX1dUTlhdVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C135065.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.5.xh&lcsc_vid=R1lcUVNTTlAMX1ZfQlFdVFNSFlhYVwBUQlAMUFRfRAMxVlNeR1NdX1dUTlhdVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
