Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",199.050000,-112.800000,-90.000000,bottom
"C2","100nF","C_0402_1005Metric",200.975000,-112.825000,-90.000000,bottom
"C3","100nF","C_0402_1005Metric",210.820000,-116.730000,-90.000000,bottom
"C4","22uF","C_0805_2012Metric",194.100000,-117.425000,-90.000000,bottom
"C5","22uF","C_0805_2012Metric",196.095000,-117.440000,-90.000000,bottom
"C6","100nF","C_0402_1005Metric",206.180000,-117.010000,-90.000000,bottom
"C7","100nF","C_0402_1005Metric",192.220000,-117.210000,-90.000000,bottom
"C8","100nF","C_0402_1005Metric",191.795000,-114.505000,90.000000,bottom
"C9","4.7uF","C_0603_1608Metric",190.475000,-114.500000,90.000000,bottom
"C10","22uF","C_0805_2012Metric",188.645000,-114.245000,90.000000,bottom
"C11","100nF","C_0402_1005Metric",196.895000,-93.850000,0.000000,bottom
"C12","100nF","C_0402_1005Metric",197.070000,-105.685000,0.000000,bottom
"C13","100nF","C_0402_1005Metric",202.425000,-98.510000,180.000000,bottom
"C14","100nF","C_0402_1005Metric",202.030000,-108.740000,180.000000,bottom
"C15","100nF","C_0402_1005Metric",196.900000,-96.745000,0.000000,bottom
"C16","100nF","C_0402_1005Metric",197.080000,-108.665000,0.000000,bottom
"C17","100nF","C_0402_1005Metric",202.410000,-96.575000,180.000000,bottom
"C18","100nF","C_0402_1005Metric",202.035000,-105.935000,180.000000,bottom
"C19","100nF","C_0402_1005Metric",189.850000,-96.575000,-90.000000,bottom
"C20","100nF","C_0402_1005Metric",190.025000,-109.175000,-90.000000,bottom
"C21","100nF","C_0402_1005Metric",209.445000,-94.635000,90.000000,bottom
"C22","100nF","C_0402_1005Metric",209.195000,-106.275000,90.000000,bottom
"C23","100nF","C_0402_1005Metric",189.340000,-90.950000,0.000000,bottom
"C24","100nF","C_0402_1005Metric",189.970000,-103.020000,0.000000,bottom
"C25","100nF","C_0402_1005Metric",209.900000,-100.750000,180.000000,bottom
"C26","100nF","C_0402_1005Metric",210.574330,-111.910000,180.000000,bottom
"C59","100nF","C_0402_1005Metric",187.460000,-90.950000,0.000000,bottom
"C60","100nF","C_0402_1005Metric",188.090000,-103.020000,0.000000,bottom
"C61","100nF","C_0402_1005Metric",211.790000,-100.730000,180.000000,bottom
"C62","100nF","C_0402_1005Metric",212.454330,-111.910000,180.000000,bottom
"C63","100nF","C_0402_1005Metric",185.550000,-90.895000,0.000000,bottom
"C64","100nF","C_0402_1005Metric",186.210000,-103.020000,0.000000,bottom
"C65","100nF","C_0402_1005Metric",213.660000,-100.730000,180.000000,bottom
"C66","100nF","C_0402_1005Metric",214.334330,-111.910000,180.000000,bottom
"C67","4.7uF","C_0603_1608Metric",185.760000,-97.575000,180.000000,bottom
"C68","4.7uF","C_0603_1608Metric",186.025000,-110.400000,180.000000,bottom
"C69","4.7uF","C_0603_1608Metric",213.410000,-93.495000,0.000000,bottom
"C70","4.7uF","C_0603_1608Metric",213.945000,-105.015000,0.000000,bottom
"C71","1uF","C_0402_1005Metric",198.340000,-96.195000,-90.000000,bottom
"C72","1uF","C_0402_1005Metric",198.475000,-108.200000,-90.000000,bottom
"C73","1uF","C_0402_1005Metric",201.005000,-97.060000,90.000000,bottom
"C74","1uF","C_0402_1005Metric",200.610000,-106.975000,90.000000,bottom
