"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;", , ";"";3;"";;;
2;"AT1";"ANTENNA_2450AT43B100E";1;"2450AT43B100E";;;
3;"C1, C2, C3, C6, C11, C14, C15, C16, C23, C26, C27, C28, C30, C32, C38, C44, C49, C50";"C_0402_1005Metric";18;"100nF";;;
4;"C4, C29, C35, C36, C41, C42, C45, C46, C47, C48";"C_0402_1005Metric";10;"0.1uF";;;
5;"C5, C12, C13";"C_0603_1608Metric";3;"4.7uF";;;
6;"C7";"CP_EIA-1608-08_AVX-J";1;"1uF";;;
7;"C8, C9";"C_0402_1005Metric";2;"2.2uF";;;
8;"C10, C33";"C_0402_1005Metric";2;"10nF";;;
9;"C17, C19, C40";"C_0805_2012Metric";3;"22uF";;;
10;"C18, C21";"C_0805_2012Metric";2;"10uF";;;
11;"C20, C22";"C_0805_2012Metric";2;"47uF";;;
12;"C24, C25, C34, C39";"C_0402_1005Metric";4;"1uF";;;
13;"C31, C43";"CP_EIA-1608-08_AVX-J";2;"22uF";;;
14;"C37";"C_0603_1608Metric";1;"10uF";;;
15;"D1";"LED_0805_2012Metric";1;"LED2";;;
16;"D2";"LED_0805_2012Metric";1;"LED3";;;
17;"D3";"LED_0805_2012Metric";1;"LED4";;;
18;"D4";"LED_0805_2012Metric";1;"LED1";;;
19;"D5";"DIOM4325X250N";1;"SMAJ5.0A";;;
20;"D7";"LED_KT-0603R";1;"KT-0603R";;;
21;"D8";"SOT-23";1;"BAT54C";;;
22;"F2";"FUSE_MICROASMD010F_LTF";1;"MICROASMD010F-2";;;
23;"FL1";"BEADC0603X33N";1;"120Ω @ 100MHz";;;
24;"FL2";"BEADC1608X95N";1;"220 Ohms @ 100 MHz";;;
25;"IC1";"SOP65P640X120-29N";1;"AT7456E";;;
26;"J1, J9";"JST_SM06B-SRSS-TB_LF__SN_";2;"SM06B-SRSS-TB_LF__SN_";;;
27;"J2";"GCT_USB4940-00-A_REVA";1;"USB4940-00-A_REVA";;;
28;"J3, J5, J7, J8, J12";"JST_SM03B-SRSS-TB_LF__SN_";5;"SM03B-SRSS-TB_LF__SN_";;;
29;"J6";"JST_SM08B-SRSS-TB_LF__SN_";1;"SM08B-SRSS-TB_LF__SN_";;;
30;"J10, J13, J14";"JST_SM04B-SRSS-TB_LF__SN_";3;"SM04B-SRSS-TB_LF__SN_";;;
31;"L1, L2";"L_Changjiang_FTC404020S";2;"10uH";;;
32;"L3";"L_0402_1005Metric";1;"1.8nH";;;
33;"Q2";"SOT-23";1;"AO3400A";;;
34;"R1, R5";"R_0402_1005Metric";2;"5k1";;;
35;"R2, R3";"R_0402_1005Metric";2;"80";;;
36;"R4, R6, R12, R20, R24, R33, R35";"R_0402_1005Metric";7;"10K";;;
37;"R7, R14";"R_0402_1005Metric";2;"51K";;;
38;"R8, R16";"R_0402_1005Metric";2;"41K2";;;
39;"R9";"R_0402_1005Metric";1;"3K92";;;
40;"R10, R13";"R_0402_1005Metric";2;"20";;;
41;"R11";"R_0402_1005Metric";1;"18K";;;
42;"R15";"R_0402_1005Metric";1;"7K5";;;
43;"R17";"R_0402_1005Metric";1;"2K";;;
44;"R18";"R_0402_1005Metric";1;"47";;;
45;"R21, R31";"R_0402_1005Metric";2;"220";;;
46;"R22, R34";"R_0402_1005Metric";2;"1K";;;
47;"R23, R30, R38";"R_0402_1005Metric";3;"75";;;
48;"R25, R26";"R_0402_1005Metric";2;"2.2K";;;
49;"R27, R28, R29";"R_0402_1005Metric";3;"4.7K";;;
50;"R32";"R_0402_1005Metric";1;"5.1K";;;
51;"R36, R37";"R_0402_1005Metric";2;"1M";;;
52;"S2";"SW_EVQ-P7A01P";1;"EVQ-P7A01P";;;
53;"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP40, TP41, TP42, TP43, TP44, TP45, TP46, TP47, TP48, TP49, TP50, TP51";"TestPoint_Pad_D1.0mm";22;"TestPoint";;;
54;"TP11, TP12";"TestPoint_Pad_D2.0mm";2;"TestPoint";;;
55;"TP13, TP14, TP15, TP16, TP18, TP19, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP32, TP36, TP38, TP39";"TestPoint_Pad_1.0x1.0mm";18;"TestPoint";;;
56;"TP17, TP31, TP35, TP37";"TestPoint_Pad_2.0x2.0mm";4;"TestPoint";;;
57;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F722RETx";;;
58;"U2";"XDCR_BMP388";1;"BMP388";;;
59;"U3";"VREG_NCP167BMX330TBG";1;"NCP167BMX330TBG";;;
60;"U4, U9";"QFN-8_MP9943_MNP";2;"~";;;
61;"U5";"QFN50P500X500X90-33N";1;"ESP32-C3";;;
62;"U6";"PQFN50P300X250X97-14N";1;"ICM-42688-P";;;
63;"U7";"IC_W25N04KVZEIR";1;"W25N04KVZEIR";;;
64;"U10";"SOT-23-6";1;"USBLC6-2SC6";;;
65;"U11";"SON65P300X300X63-9N";1;"AP7361C-FGE-7";;;
66;"Y1";"XTAL_ABM8-27.000MHZ-B2-T";1;"ABM8-27.000MHZ-B2-T";;;
67;"Y2";"XTAL_C3E-40.000-10-1015-X-R";1;"C3E-40.000-10-1015-X-R";;;
68;"Y3";"XTAL_C3E-8.000-18-3030-X-R";1;"C3E-8.000-18-3030-X-R";;;
