"Value","Description","Reference","Footprint","Qty","MANUFACTURER","MANUFACTURER PART NUMBER","LCSC","Distributor Link","Datasheet"
"1.8nH","Inductor SMD 0402","L3","Inductor_SMD:L_0402_1005Metric","1","muRata","LQG15HS1N8S02D","C77107","https://www.lcsc.com/product-detail/C77107.html?s_z=s_p_LQG15HS1N8S02D&spm=wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbVVxRRlZaVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C77107.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbVVxRRlZaVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"10nF","Unpolarized capacitor SMD 0402","C10,C33","Capacitor_SMD:C_0402_1005Metric","2","Samsung Electro-Mechanics","CL05B103KB5NNNC","C15195","https://www.lcsc.com/product-detail/C15195.html?spm=wm.fly.bg.0.xh___wm.fly.tp.3.ml&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C15195.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"100nF","Unpolarized capacitor SMD 0402","C1,C2,C3,C4,C6,C11,C14,C15,C16,C23,C26,C27,C28,C29,C30,C32,C35,C36,C38,C41,C42,C44,C45,C46,C47,C48,C49,C50","Capacitor_SMD:C_0402_1005Metric","28","Samsung Electro-Mechanics","CL05A104KA5NNNC","C100072","https://www.lcsc.com/product-detail/C100072.html?spm=wm.fly.bg.4.xh___wm.fly.tp.3.ml&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C100072.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.4.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"1uF","Unpolarized capacitor SMD 0805","C7","Capacitor_SMD:C_0805_2012Metric","1","Samsung Electro-Mechanics","CL21B105KOFNNNE","C24123","https://www.lcsc.com/product-detail/C24123.html?spm=wm.fly.bg.1.xh___wm.fly.tp.3.ml&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C24123.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.1.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"1uF","Unpolarized capacitor SMD 0402","C24,C25,C34,C39","Capacitor_SMD:C_0402_1005Metric","4","Samsung Electro-Mechanics","CL05A105KO5NNNC","C29266","https://www.lcsc.com/product-detail/C29266.html?spm=wm.fly.bg.0.xh___wm.fly.tp.3.ml&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C29266.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"2.2uF","Unpolarized capacitor SMD 0402","C8,C9","Capacitor_SMD:C_0402_1005Metric","2","Samsung Electro-Mechanics","CL05A225KP5NSNC","C107369","https://www.lcsc.com/product-detail/C107369.html?spm=wm.fly.bg.2.xh___wm.fly.tp.3.ml&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C107369.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.2.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"4.7uF","Unpolarized capacitor SMD 0603","C5,C12,C13","Capacitor_SMD:C_0603_1608Metric","3","Samsung Electro-Mechanics","CL10A475KO8NNNC","C19666","https://www.lcsc.com/product-detail/C19666.html?spm=wm.fly.bg.0.xh___wm.fly.tp.3.ml&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C19666.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"10uF","Unpolarized capacitor SMD 0805","C18,C21,C37","Capacitor_SMD:C_0805_2012Metric","3","Samsung Electro-Mechanics","CL21A106KBYQNNE","C2932476","https://www.lcsc.com/product-detail/C2932476.html?spm=wm.fly.bg.0.xh___wm.fly.tp.3.ml&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C2932476.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"10uH","Molded power inductor SMD","L1,L2","Inductor_SMD:L_Changjiang_FTC404020S","2","FAUKU","GXTC0420-100-MT","C53198553","https://www.lcsc.com/product-detail/C53198553.html?s_z=s_p_GXTC0420-100-MT&spm=wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C602037.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"22uF","Unpolarized capacitor SMD 0805","C17,C19,C31,C40,C43","Capacitor_SMD:C_0805_2012Metric","5","Chinocera","HGC0805R5226M350NSLJ","C22367832","https://www.lcsc.com/product-detail/C22367832.html?spm=wm.fly.bg.0.xh___wm.fly.tp.3.ml&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C22367832.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
