Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",176.735000,-73.130000,180.000000,bottom
"C2","100nF","C_0402_1005Metric",168.545000,-64.945000,180.000000,bottom
"C3","100nF","C_0402_1005Metric",176.425000,-65.025000,0.000000,bottom
"C4","100nF","C_0402_1005Metric",173.555000,-69.255000,90.000000,bottom
"C5","4.7uF","C_0603_1608Metric",176.180000,-71.530000,180.000000,bottom
"C6","100nF","C_0402_1005Metric",175.935000,-67.060000,180.000000,bottom
"C7","1uF","C_0805_2012Metric",175.785000,-68.530000,180.000000,bottom
"C8","2.2uF","C_0402_1005Metric",171.750000,-65.165000,0.000000,bottom
"C9","2.2uF","C_0402_1005Metric",172.585000,-69.255000,90.000000,bottom
"C10","10nF","C_0402_1005Metric",171.605000,-69.255000,90.000000,bottom
"C12","4.7uF","C_0603_1608Metric",181.460000,-56.230000,0.000000,bottom
"C13","4.7uF","C_0603_1608Metric",180.410000,-61.930000,180.000000,bottom
"C14","100nF","C_0402_1005Metric",181.582500,-81.935001,-90.000000,bottom
"C15","100nF","C_0402_1005Metric",167.540000,-82.065001,-90.000000,bottom
"C16","100nF","C_0402_1005Metric",176.670000,-70.015000,180.000000,bottom
"C17","22uF","C_0805_2012Metric",178.165000,-77.360000,90.000000,bottom
"C18","10uF","C_0805_2012Metric",176.175000,-77.365000,90.000000,bottom
"C19","22uF","C_0805_2012Metric",162.925000,-77.650000,90.000000,bottom
"C20","47uF","C_0805_2012Metric",177.655000,-84.670000,0.000000,bottom
"C21","10uF","C_0805_2012Metric",160.900000,-77.650000,90.000000,bottom
"C22","47uF","C_0805_2012Metric",162.825000,-84.975000,0.000000,bottom
"C23","100nF","C_0402_1005Metric",167.630000,-73.970000,180.000000,bottom
"C24","1uF","C_0402_1005Metric",172.745000,-81.660000,0.000000,bottom
"C25","1uF","C_0402_1005Metric",172.645000,-78.960000,0.000000,bottom
"C26","100nF","C_0402_1005Metric",166.310000,-70.330000,-90.000000,bottom
"C27","100nF","C_0402_1005Metric",160.370000,-60.370000,90.000000,bottom
"C30","100nF","C_0402_1005Metric",163.880000,-60.350000,90.000000,bottom
"C31","22uF","C_0805_2012Metric",168.310000,-62.755000,90.000000,bottom
"C40","22uF","C_0805_2012Metric",174.240000,-84.675000,180.000000,bottom
"C41","100nF","C_0402_1005Metric",181.132500,-76.635001,180.000000,bottom
"C42","100nF","C_0402_1005Metric",167.279800,-76.867502,180.000000,bottom
"C43","22uF","C_0805_2012Metric",166.660000,-60.070000,0.000000,bottom
"C44","100nF","C_0402_1005Metric",162.520000,-60.320000,90.000000,bottom
"C45","100nF","C_0402_1005Metric",174.735000,-78.065000,90.000000,bottom
"C46","100nF","C_0402_1005Metric",159.400000,-76.865000,90.000000,bottom
